
Pre-schedule statistics


Total nodes: 1923

Node class;Type;Length;Num
NodeNeg;{HWFloat:8, 24};0;2
NodeNeq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodePulse;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeRegister;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeRegister;{HWOffsetFix:32, 0, UNSIGNED};0;9
NodeReinterpret;{HWFloat:8, 24};0;5
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:32, 0, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:8, 0, UNSIGNED};0;1
NodeReinterpret;{HWRawBits:32};0;2
NodeShift;{HWRawBits:32};0;1
NodeSlice;{HWRawBits:1};0;1
NodeSlice;{HWRawBits:32};0;4
NodeSlice;{HWRawBits:8};0;1
NodeSqrt;{HWFloat:8, 24};0;1
NodeStreamOffset;{HWOffsetFix:32, 0, UNSIGNED};0;302
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeSub;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};0;2
