
Pre-schedule statistics


Total nodes: 1220

Node class;Type;Length;Num
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};21;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};25;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};3;4
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};32;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};4;4
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};47;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};5;3
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};58;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};64;2
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};76;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};78;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};79;2
NodeFIFO;{HWOffsetFix:17, -17, UNSIGNED};6;2
NodeFIFO;{HWOffsetFix:2, 0, UNSIGNED};5;4
NodeFIFO;{HWOffsetFix:25, -24, UNSIGNED};18;1
NodeFIFO;{HWOffsetFix:25, -24, UNSIGNED};2;1
NodeFIFO;{HWOffsetFix:27, -23, TWOSCOMPLEMENT};10;1
NodeFIFO;{HWOffsetFix:27, -23, TWOSCOMPLEMENT};16;1
NodeFIFO;{HWOffsetFix:27, -23, TWOSCOMPLEMENT};4;1
NodeFIFO;{HWOffsetFix:5, 0, UNSIGNED};3;4
NodeFIFO;{HWOffsetFix:7, 0, UNSIGNED};9;4
NodeFIFO;{HWOffsetFix:8, 0, TWOSCOMPLEMENT};4;2
NodeFIFO;{HWOffsetFix:8, 0, UNSIGNED};1;2
NodeFIFO;{HWOffsetFix:8, 0, UNSIGNED};2;1
NodeFIFO;{HWOffsetFix:80, -79, TWOSCOMPLEMENT};3;2
NodeFIFO;{HWOffsetFix:80, -79, TWOSCOMPLEMENT};4;2
NodeFIFO;{HWOffsetFix:9, 0, TWOSCOMPLEMENT};1;1
NodeFIFO;{HWRawBits:1};2;1
NodeFIFO;{HWRawBits:1};27;1
NodeFIFO;{HWRawBits:1};29;1
NodeFIFO;{HWRawBits:1};6;4
NodeFIFO;{HWRawBits:23};1;1
NodeFIFO;{HWRawBits:24};1;4
NodeFIFO;{HWRawBits:2};1;1
NodeFIFO;{HWRawBits:31};2;1
NodeFIFO;{HWRawBits:8};29;1
